# AoE2 map_id -> name -> family -> notes. SINGLE SOURCE OF TRUTH; the analyzer reads col1(id)+col3(family).
# Source: families classified from the Age of Empires Fandom wiki by real flank/pocket TEAM STRUCTURE
#   (not just terrain); gameplay map ids only (9..215). Arabia=9 verified vs a real replay.
# family enum (EDIT col 3): open | closed | hybrid | water | nomad | special | other
#   open/closed = flank/pocket coaching applies (open-land vs walled). hybrid/water/nomad/special/other = NO role tag.
# Columns: id<TAB>name<TAB>family<TAB>notes
9	Arabia	open	Classic open land map; teams spawn together with outer flanks facing enemies and protected inner pockets.
10	Archipelago	water	Naval-dominant; players spread across small islands separated by ocean, no land flank/pocket arrangement.
11	Baltic	hybrid	Large central sea ringed by land with thin walkable land routes; water-control hybrid, no clean flank/pocket.
12	Black Forest	closed	Forest-walled lanes/chokepoints; teams spawn together, outer players hold front gaps (flanks), inner are pockets.
13	Coastal	hybrid	Roughly half land, half surrounding sea; mixed land/water play with no clear flank/pocket structure.
14	Continental	hybrid	Mostly-land continent surrounded by water with ponds; naval matters, no clean flank/pocket layout.
15	Crater Lake	hybrid	Large central lake (~1/3 water) with players on peninsulas split by narrow land strips; turtle/water hybrid, no flank/pocket.
16	Fortress	closed	Every player starts pre-walled with castle/towers; teams sling so inner pockets feed outer flanks fighting at the front.
17	Gold Rush	open	Open forestland; players/teams spawn around a contested central gold desert, classic flank/pocket arrangement applies.
18	Highland	open	Cliffed forested land with rivers; played as open land-combat map, teams spawn together with flank/pocket layout.
19	Islands	water	Every player on own isolated island regardless of team; naval-dominant, no land flank/pocket.
20	Mediterranean	hybrid	Ring of land around a central sea; players spread along coast, naval control key, no clean flank/pocket.
21	Migration	hybrid	Players start on small private islands with a resource-rich central continent; naval migration map, no land flank/pocket.
22	Rivers	hybrid	Mostly land split by crossable rivers/shallows acting as barriers; water-influenced, no clear flank/pocket.
23	Team Islands	water	Teammates share one island separated by water from enemies; naval-dominant, no land flank/pocket roles.
25	Scandinavia	hybrid	Frozen closed-hybrid map with beaches/water on both sides and abundant fish; land+water mix, no clear flank/pocket.
26	Mongolia	open	Open land map (dirt/snow/pine) with cliffs and chokepoints, Arabia-like; teams spawn together giving flank/pocket roles.
27	Yucatan	closed	Heavily forested closed land map favoring early walling/boom (between Cenotes and Black Forest); teams spawn together with flank/pocket.
28	Salt Marsh	hybrid	Amphibious marsh of shallows and navigable water; unpredictable/asymmetrical layout, no clean flank/pocket arrangement.
29	Arena	closed	Each player starts inside a stone-walled arena; classic closed boom map, teams together with flank/pocket roles.
31	Oasis	closed	Desert with central oasis water ringed by thick palm forest; teams spawn together around the circle, forest barrier creates flank/pocket turtle/boom play.
32	Ghost Lake	open	Majority-land, very open Arabia-like map with a frozen central no-man's-land lake; teams spawn together with flank/pocket.
33	Nomad	nomad	No starting Town Center; villagers scattered around a shoreline water body, players must find a TC spot — no flank/pocket structure.
